condition_id,seed,profile,m,k,topology,contact_prob,epoch_length,traffic_regime,attack_type,has_real_attack,approach,scenario,num_nodes,time_to_first_local_suspicion,time_to_median_local_suspicion,time_to_first_regional_coord,time_to_median_regional_coord,time_to_fleet_awareness,false_escalation_count,true_coord_hits,missed_coord_attacks,stale_pressure_events,total_bytes,total_merges,bytes_per_node,mean_packet_size,max_saturation_pct,steps_in_harmful_saturation,final_saturation_variance,degradation_under_malicious,layer_a_fp_rate,layer_a_campaign_recall,layer_a_sat_pct
62,50274,good_regime_192000,192000,13,full_mesh,0.7,200,stale_replay,replay_stale,True,ghost_meadow,stale_replay_good_regime_192000,12,,,,,,0,0,11,0,2021953760,42107,168496146.66666666,48019.4209988838,17.26595643939394,0,1.291322314049808e-05,0.0,0.0,1.0,2.0140625
62,50274,good_regime_192000,192000,13,full_mesh,0.7,200,stale_replay,replay_stale,True,local_only,stale_replay_good_regime_192000,12,63,68,174,181,68,0,11,0,0,0,0,0.0,0.0,70.89090909090909,0,1.4214876033057864,0.0,,,
62,50274,good_regime_192000,192000,13,full_mesh,0.7,200,stale_replay,replay_stale,True,exact_gossip,stale_replay_good_regime_192000,12,6,6,16,16,6,0,11,0,424,145146622,42091,12095551.833333334,3448.4004181416453,95.0,446,0.0,0.0,,,
63,50411,negative_control_4096,4096,2,star_sparse,0.15,100,benign_heavy,none,False,ghost_meadow,benign_heavy_negative_control_4096,12,21,23,85,90,23,5,0,0,42,1971840,1896,164320.0,1040.0,66.6015625,0,0.3393822246127658,0.0,0.015,1.0,13.8671875
63,50411,negative_control_4096,4096,2,star_sparse,0.15,100,benign_heavy,none,False,local_only,benign_heavy_negative_control_4096,12,38,43,,,43,0,0,0,0,0,0,0.0,0.0,58.31666666666666,0,4.848888888888878,0.0,,,
63,50411,negative_control_4096,4096,2,star_sparse,0.15,100,benign_heavy,none,False,exact_gossip,benign_heavy_negative_control_4096,12,5,8,13,17,8,12,0,0,339,6594920,1896,549576.6666666666,3478.3333333333335,95.0,400,0.0,0.0,,,
64,50411,negative_control_4096,4096,2,regional_mesh,0.4,200,coordinated_bursty,distributed_campaign,True,ghost_meadow,coordinated_bursty_negative_control_4096,12,28,30,135,150,30,0,12,0,173,8764080,8427,730340.0,1040.0,74.62972005208333,0,0.06650471025043063,0.0,0.015,1.0,13.8671875
64,50411,negative_control_4096,4096,2,regional_mesh,0.4,200,coordinated_bursty,distributed_campaign,True,local_only,coordinated_bursty_negative_control_4096,12,62,70,171,178,70,0,12,0,0,0,0,0.0,0.0,72.89999999999999,0,6.943333333333331,0.0,,,
64,50411,negative_control_4096,4096,2,regional_mesh,0.4,200,coordinated_bursty,distributed_campaign,True,exact_gossip,coordinated_bursty_negative_control_4096,12,6,8,16,17,8,0,12,0,416,31101052,8427,2591754.3333333335,3690.6434080930344,95.0,441,0.0,0.0,,,
65,50411,negative_control_4096,4096,2,partitioned_clusters,0.7,300,low_and_slow,distributed_campaign,True,ghost_meadow,low_and_slow_negative_control_4096,12,28,45,137,214,45,0,12,0,282,22540960,21674,1878413.3333333333,1040.0,80.34871419270833,10,0.0041185153855217834,0.0,0.015,1.0,13.8671875
65,50411,negative_control_4096,4096,2,partitioned_clusters,0.7,300,low_and_slow,distributed_campaign,True,local_only,low_and_slow_negative_control_4096,12,62,68,172,181,68,0,12,0,36,0,0,0.0,0.0,95.0,75,11.723055555555552,0.0,,,
65,50411,negative_control_4096,4096,2,partitioned_clusters,0.7,300,low_and_slow,distributed_campaign,True,exact_gossip,low_and_slow_negative_control_4096,12,6,6,16,16,6,0,12,0,447,82575104,21674,6881258.666666667,3809.86915197933,95.0,461,0.0,0.0,,,
